01-agent-wide: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
02-agent-medium: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
03-agent-narrow: requested 560x820 DIP; actual 560, 820; native scale 1,25; render=96 DPI
04-agent-minimum: requested 560x600 DIP; actual 560, 600; native scale 1,25; render=96 DPI
05-project-picker: requested 560x820 DIP; actual 560, 820; native scale 1,25; render=96 DPI
06-document-narrow: requested 560x820 DIP; actual 560, 820; native scale 1,25; render=96 DPI
07-command-center: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
08-project-tasks: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
09-project-notes: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
10-project-files: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
11-history-evidence: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
12-ai-settings: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
13-storage-conflict: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
14-bubble-idle: requested 270x54 DIP; actual 269.6, 53.6; native scale 1,25; render=96 DPI
14-bubble-working: requested 270x54 DIP; actual 269.6, 53.6; native scale 1,25; render=96 DPI
14-bubble-attention: requested 270x54 DIP; actual 269.6, 53.6; native scale 1,25; render=96 DPI
14-bubble-completed: requested 270x54 DIP; actual 269.6, 53.6; native scale 1,25; render=96 DPI
15-assistant-640: requested 640x610 DIP; actual 640, 610.4; native scale 1,25; render=96 DPI
16-assistant-380: requested 380x610 DIP; actual 380, 610.4; native scale 1,25; render=96 DPI
17-assistant-full: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
18-composer: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
19-storage-transfer: requested 1040x760 DIP; actual 1040, 760; native scale 1,25; render=96 DPI
20-pdf-evidence: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
10-word-preview: requested 1440x860 DIP; actual 1440, 860; native scale 1,25; render=96 DPI
